# step param_0 param_1 param_2 param_3 param_4 param_5 param_6 param_7 param_8 param_9 param_10 param_11 param_12 param_13 param_14 param_15 param_16 param_17 param_18 param_19 param_20 param_21 param_22 param_23 param_24 param_25 loglike
13 1.590206e-01 2.288764e-02 6.981065e-01 1.068144e-01 9.995246e-01 2.854002e+00 -2.174276e-04 -1.253803e+00 -1.266091e-02 1.002435e+00 2.990888e+00 5.526462e-04 1.999372e+02 5.425469e+01 1.203705e+02 9.555644e+00 4.821519e+01 9.505485e+00 4.898154e-01 5.138725e-01 5.006924e-01 1.001824e+00 1.003490e+00 5.208804e-01 4.923288e+00 -1.192188e-01 -8.038379e+03
14 1.591148e-01 2.291118e-02 6.979470e-01 1.075125e-01 9.995997e-01 2.853908e+00 -5.927900e-04 -1.257986e+00 -1.876952e-02 9.965913e-01 2.993818e+00 -2.933035e-04 2.026986e+02 5.190563e+01 1.204591e+02 9.492459e+00 4.758851e+01 9.489853e+00 4.880047e-01 5.127336e-01 4.876202e-01 1.001958e+00 1.004147e+00 5.140788e-01 4.981717e+00 -1.525091e-01 -8.039540e+03
15 1.591148e-01 2.291118e-02 6.979470e-01 1.075125e-01 9.995997e-01 2.853908e+00 -5.927900e-04 -1.257986e+00 -1.876952e-02 9.965913e-01 2.993818e+00 -2.933035e-04 2.026986e+02 5.190563e+01 1.204591e+02 9.492459e+00 4.758851e+01 9.489853e+00 4.880047e-01 5.127336e-01 4.876202e-01 1.001958e+00 1.004147e+00 5.140788e-01 4.981717e+00 -1.525091e-01 -8.039540e+03
16 1.591148e-01 2.291118e-02 6.979470e-01 1.075125e-01 9.995997e-01 2.853908e+00 -5.927900e-04 -1.257986e+00 -1.876952e-02 9.965913e-01 2.993818e+00 -2.933035e-04 2.026986e+02 5.190563e+01 1.204591e+02 9.492459e+00 4.758851e+01 9.489853e+00 4.880047e-01 5.127336e-01 4.876202e-01 1.001958e+00 1.004147e+00 5.140788e-01 4.981717e+00 -1.525091e-01 -8.039540e+03
17 1.591148e-01 2.291118e-02 6.979470e-01 1.075125e-01 9.995997e-01 2.853908e+00 -5.927900e-04 -1.257986e+00 -1.876952e-02 9.965913e-01 2.993818e+00 -2.933035e-04 2.026986e+02 5.190563e+01 1.204591e+02 9.492459e+00 4.758851e+01 9.489853e+00 4.880047e-01 5.127336e-01 4.876202e-01 1.001958e+00 1.004147e+00 5.140788e-01 4.981717e+00 -1.525091e-01 -8.039540e+03
18 1.586160e-01 2.296461e-02 6.971714e-01 1.110568e-01 1.000740e+00 2.853228e+00 -1.350700e-03 -1.255798e+00 -2.799241e-02 9.966583e-01 3.000045e+00 -3.989696e-05 2.061642e+02 5.099534e+01 1.187861e+02 8.968136e+00 4.743134e+01 9.556098e+00 4.895229e-01 5.137973e-01 5.015111e-01 1.001628e+00 1.004038e+00 5.086210e-01 4.960456e+00 -1.271173e-01 -7.891855e+03
19 1.583122e-01 2.295816e-02 6.984449e-01 1.114751e-01 1.000189e+00 2.852721e+00 -1.210271e-03 -1.251481e+00 -3.903885e-02 9.957259e-01 3.002157e+00 -8.215085e-04 2.058255e+02 5.105148e+01 1.185836e+02 9.029131e+00 4.661544e+01 9.468820e+00 4.978992e-01 5.084742e-01 5.148692e-01 1.000832e+00 1.002984e+00 5.017130e-01 4.946779e+00 -1.839883e-01 -7.782572e+03
20 1.576536e-01 2.294033e-02 6.985556e-01 1.138518e-01 1.000966e+00 2.852096e+00 -1.583914e-03 -1.249914e+00 -4.582443e-02 9.962576e-01 2.999976e+00 -2.339467e-04 2.073320e+02 5.152290e+01 1.200120e+02 8.812871e+00 4.780317e+01 9.097970e+00 5.052764e-01 5.068553e-01 5.171833e-01 1.000799e+00 1.002782e+00 5.078383e-01 4.778888e+00 -2.026571e-01 -7.769082e+03
21 1.577893e-01 2.296465e-02 6.969479e-01 1.131671e-01 1.000116e+00 2.852346e+00 -1.608637e-03 -1.246702e+00 -3.756900e-02 9.903431e-01 3.003765e+00 7.988569e-06 2.075753e+02 5.086442e+01 1.174295e+02 9.024636e+00 4.870182e+01 9.160652e+00 5.052489e-01 5.137364e-01 5.356377e-01 1.000948e+00 1.004047e+00 5.092184e-01 4.663653e+00 -1.902923e-01 -7.723410e+03
22 1.577893e-01 2.296465e-02 6.969479e-01 1.131671e-01 1.000116e+00 2.852346e+00 -1.608637e-03 -1.246702e+00 -3.756900e-02 9.903431e-01 3.003765e+00 7.988569e-06 2.075753e+02 5.086442e+01 1.174295e+02 9.024636e+00 4.870182e+01 9.160652e+00 5.052489e-01 5.137364e-01 5.356377e-01 1.000948e+00 1.004047e+00 5.092184e-01 4.663653e+00 -1.902923e-01 -7.723410e+03
