[Rank 6] Proposals: 500, Emulator: 23, Time: 2605.93 s
[Rank 6] Proposals: 1000, Emulator: 433, Time: 5166.60 s
[Rank 6] Proposals: 1500, Emulator: 843, Time: 7662.36 s
[Rank 6] Proposals: 2000, Emulator: 1331, Time: 9634.28 s
[Rank 6] Proposals: 2500, Emulator: 1825, Time: 11694.62 s
[Rank 6] Proposals: 3000, Emulator: 2308, Time: 13794.71 s
[Rank 6] Proposals: 3500, Emulator: 2800, Time: 15892.83 s
[Rank 6] Proposals: 4000, Emulator: 3295, Time: 17965.38 s
[Rank 6] Proposals: 4500, Emulator: 3792, Time: 20000.34 s
[Rank 6] Proposals: 5000, Emulator: 4266, Time: 22080.88 s
[Rank 6] Proposals: 5500, Emulator: 4737, Time: 24013.76 s
[Rank 6] Proposals: 6000, Emulator: 5220, Time: 25671.31 s
[Rank 6] Proposals: 6500, Emulator: 5684, Time: 27347.49 s
[Rank 6] Proposals: 7000, Emulator: 6160, Time: 29028.91 s
