[Rank 2] Proposals: 500, Emulator: 0, Time: 2589.15 s
[Rank 2] Proposals: 1000, Emulator: 188, Time: 5211.90 s
[Rank 2] Proposals: 1500, Emulator: 553, Time: 7507.25 s
[Rank 2] Proposals: 2000, Emulator: 1046, Time: 9479.74 s
[Rank 2] Proposals: 2500, Emulator: 1540, Time: 11585.53 s
[Rank 2] Proposals: 3000, Emulator: 2031, Time: 13822.53 s
[Rank 2] Proposals: 3500, Emulator: 2524, Time: 15996.64 s
[Rank 2] Proposals: 4000, Emulator: 3019, Time: 18120.51 s
[Rank 2] Proposals: 4500, Emulator: 3514, Time: 20271.97 s
[Rank 2] Proposals: 5000, Emulator: 3981, Time: 22260.54 s
[Rank 2] Proposals: 5500, Emulator: 4465, Time: 24106.13 s
[Rank 2] Proposals: 6000, Emulator: 4953, Time: 25707.13 s
[Rank 2] Proposals: 6500, Emulator: 5436, Time: 27313.09 s
[Rank 2] Proposals: 7000, Emulator: 5920, Time: 28936.63 s
