[Rank 3] Proposals: 500, Emulator: 5, Time: 2666.49 s
[Rank 3] Proposals: 1000, Emulator: 388, Time: 5199.52 s
[Rank 3] Proposals: 1500, Emulator: 886, Time: 7329.08 s
[Rank 3] Proposals: 2000, Emulator: 1383, Time: 9467.41 s
[Rank 3] Proposals: 2500, Emulator: 1883, Time: 11585.63 s
[Rank 3] Proposals: 3000, Emulator: 2378, Time: 13822.63 s
[Rank 3] Proposals: 3500, Emulator: 2877, Time: 15996.74 s
[Rank 3] Proposals: 4000, Emulator: 3377, Time: 18120.43 s
[Rank 3] Proposals: 4500, Emulator: 3872, Time: 20262.29 s
[Rank 3] Proposals: 5000, Emulator: 4356, Time: 22190.96 s
[Rank 3] Proposals: 5500, Emulator: 4838, Time: 24029.21 s
[Rank 3] Proposals: 6000, Emulator: 5327, Time: 25641.25 s
[Rank 3] Proposals: 6500, Emulator: 5814, Time: 27247.98 s
[Rank 3] Proposals: 7000, Emulator: 6298, Time: 28873.75 s
[Rank 3] Proposals: 7500, Emulator: 6766, Time: 30490.97 s
