[Rank 4] Proposals: 500, Emulator: 0, Time: 2528.48 s
[Rank 4] Proposals: 1000, Emulator: 0, Time: 5166.77 s
[Rank 4] Proposals: 1500, Emulator: 221, Time: 7583.67 s
[Rank 4] Proposals: 2000, Emulator: 648, Time: 9619.48 s
[Rank 4] Proposals: 2500, Emulator: 1076, Time: 11694.78 s
[Rank 4] Proposals: 3000, Emulator: 1486, Time: 13794.63 s
[Rank 4] Proposals: 3500, Emulator: 1900, Time: 15892.40 s
[Rank 4] Proposals: 4000, Emulator: 2336, Time: 17965.49 s
[Rank 4] Proposals: 4500, Emulator: 2759, Time: 20000.51 s
[Rank 4] Proposals: 5000, Emulator: 3192, Time: 22081.04 s
[Rank 4] Proposals: 5500, Emulator: 3620, Time: 24011.33 s
[Rank 4] Proposals: 6000, Emulator: 4078, Time: 25670.18 s
[Rank 4] Proposals: 6500, Emulator: 4507, Time: 27347.65 s
[Rank 4] Proposals: 7000, Emulator: 4955, Time: 29028.47 s
