[Rank 1] Proposals: 500, Emulator: 0, Time: 2557.13 s
[Rank 1] Proposals: 1000, Emulator: 19, Time: 5199.51 s
[Rank 1] Proposals: 1500, Emulator: 348, Time: 7328.82 s
[Rank 1] Proposals: 2000, Emulator: 698, Time: 9467.39 s
[Rank 1] Proposals: 2500, Emulator: 1068, Time: 11585.62 s
[Rank 1] Proposals: 3000, Emulator: 1359, Time: 13822.62 s
[Rank 1] Proposals: 3500, Emulator: 1693, Time: 15996.74 s
[Rank 1] Proposals: 4000, Emulator: 2037, Time: 18118.62 s
[Rank 1] Proposals: 4500, Emulator: 2433, Time: 20258.17 s
[Rank 1] Proposals: 5000, Emulator: 2908, Time: 22186.69 s
[Rank 1] Proposals: 5500, Emulator: 3397, Time: 24012.09 s
[Rank 1] Proposals: 6000, Emulator: 3890, Time: 25619.81 s
[Rank 1] Proposals: 6500, Emulator: 4374, Time: 27224.65 s
[Rank 1] Proposals: 7000, Emulator: 4864, Time: 28845.31 s
[Rank 1] Proposals: 7500, Emulator: 5318, Time: 30469.36 s
